Date,Close
1/4/2016 16:00:00,102.22
1/5/2016 16:00:00,102.73
1/6/2016 16:00:00,102.97
1/7/2016 16:00:00,97.92
1/8/2016 16:00:00,97.33
1/11/2016 16:00:00,97.51
1/12/2016 16:00:00,99.37
1/13/2016 16:00:00,95.44
1/14/2016 16:00:00,98.37
1/15/2016 16:00:00,94.97
1/19/2016 16:00:00,95.26
1/20/2016 16:00:00,94.35
1/21/2016 16:00:00,94.16
1/22/2016 16:00:00,97.94
1/25/2016 16:00:00,97.01
1/26/2016 16:00:00,97.34
1/27/2016 16:00:00,94.45
1/28/2016 16:00:00,109.11
1/29/2016 16:00:00,112.21
2/1/2016 16:00:00,115.09
2/2/2016 16:00:00,114.61
2/3/2016 16:00:00,112.69
2/4/2016 16:00:00,110.49
2/5/2016 16:00:00,104.07
2/8/2016 16:00:00,99.75
2/9/2016 16:00:00,99.54
2/10/2016 16:00:00,101
2/11/2016 16:00:00,101.91
2/12/2016 16:00:00,102.01
2/16/2016 16:00:00,101.61
2/17/2016 16:00:00,105.2
2/18/2016 16:00:00,103.47
2/19/2016 16:00:00,104.57
2/22/2016 16:00:00,107.16
2/23/2016 16:00:00,105.46
2/24/2016 16:00:00,106.88
2/25/2016 16:00:00,108.07
2/26/2016 16:00:00,107.92
2/29/2016 16:00:00,106.92
3/1/2016 16:00:00,109.82
3/2/2016 16:00:00,109.95
3/3/2016 16:00:00,109.58
3/4/2016 16:00:00,108.39
3/7/2016 16:00:00,105.73
3/8/2016 16:00:00,105.93
3/9/2016 16:00:00,107.51
3/10/2016 16:00:00,107.32
3/11/2016 16:00:00,109.41
3/14/2016 16:00:00,109.89
3/15/2016 16:00:00,110.67
3/16/2016 16:00:00,112.18
3/17/2016 16:00:00,111.02
3/18/2016 16:00:00,111.45
3/21/2016 16:00:00,111.85
3/22/2016 16:00:00,112.25
3/23/2016 16:00:00,112.54
3/24/2016 16:00:00,113.05
3/28/2016 16:00:00,113.69
3/29/2016 16:00:00,116.14
3/30/2016 16:00:00,114.7
3/31/2016 16:00:00,114.1
4/1/2016 16:00:00,116.06
4/4/2016 16:00:00,112.55
4/5/2016 16:00:00,112.22
4/6/2016 16:00:00,113.71
4/7/2016 16:00:00,113.64
4/8/2016 16:00:00,110.63
4/11/2016 16:00:00,108.99
4/12/2016 16:00:00,110.61
4/13/2016 16:00:00,110.51
4/14/2016 16:00:00,110.84
4/15/2016 16:00:00,109.64
4/18/2016 16:00:00,110.45
4/19/2016 16:00:00,112.29
4/20/2016 16:00:00,112.42
4/21/2016 16:00:00,113.44
4/22/2016 16:00:00,110.56
4/25/2016 16:00:00,110.1
4/26/2016 16:00:00,108.76
4/27/2016 16:00:00,108.89
4/28/2016 16:00:00,116.73
4/29/2016 16:00:00,117.58
5/2/2016 16:00:00,118.57
5/3/2016 16:00:00,117.43
5/4/2016 16:00:00,118.06
5/5/2016 16:00:00,117.81
5/6/2016 16:00:00,119.49
5/9/2016 16:00:00,119.24
5/10/2016 16:00:00,120.5
