Date,Close
1/4/2016 16:00:00,31.48
1/5/2016 16:00:00,31.28
1/6/2016 16:00:00,30.5
1/7/2016 16:00:00,28.98
1/8/2016 16:00:00,28.38
1/11/2016 16:00:00,28.46
1/12/2016 16:00:00,28.46
1/13/2016 16:00:00,26.89
1/14/2016 16:00:00,27.15
1/15/2016 16:00:00,25.97
1/19/2016 16:00:00,26.26
1/20/2016 16:00:00,25.24
1/21/2016 16:00:00,24.78
1/22/2016 16:00:00,25.61
1/25/2016 16:00:00,24.98
1/26/2016 16:00:00,25.49
1/27/2016 16:00:00,25.37
1/28/2016 16:00:00,25.17
1/29/2016 16:00:00,25.88
2/1/2016 16:00:00,25.71
2/2/2016 16:00:00,24.5
2/3/2016 16:00:00,24.32
2/4/2016 16:00:00,25.01
2/5/2016 16:00:00,24.35
2/8/2016 16:00:00,22.67
2/9/2016 16:00:00,22.93
2/10/2016 16:00:00,22.7
2/11/2016 16:00:00,21.69
2/12/2016 16:00:00,23.09
2/16/2016 16:00:00,23.72
2/17/2016 16:00:00,24.23
2/18/2016 16:00:00,23.96
2/19/2016 16:00:00,24
2/22/2016 16:00:00,24.54
2/23/2016 16:00:00,23.71
2/24/2016 16:00:00,23.71
2/25/2016 16:00:00,24.63
2/26/2016 16:00:00,25.16
2/29/2016 16:00:00,24.7
3/1/2016 16:00:00,26.09
3/2/2016 16:00:00,26.11
3/3/2016 16:00:00,26.14
3/4/2016 16:00:00,26.13
3/7/2016 16:00:00,26.09
3/8/2016 16:00:00,25.01
3/9/2016 16:00:00,24.61
3/10/2016 16:00:00,24.65
3/11/2016 16:00:00,26
3/14/2016 16:00:00,25.91
3/15/2016 16:00:00,25.43
3/16/2016 16:00:00,25.16
3/17/2016 16:00:00,25.85
3/18/2016 16:00:00,26.28
3/21/2016 16:00:00,25.94
3/22/2016 16:00:00,25.84
3/23/2016 16:00:00,25.27
3/24/2016 16:00:00,24.93
3/28/2016 16:00:00,24.72
3/29/2016 16:00:00,24.78
3/30/2016 16:00:00,25.07
3/31/2016 16:00:00,25.01
4/1/2016 16:00:00,25.53
4/4/2016 16:00:00,25.04
4/5/2016 16:00:00,24.38
4/6/2016 16:00:00,24.42
4/7/2016 16:00:00,23.72
4/8/2016 16:00:00,23.75
4/11/2016 16:00:00,24.11
4/12/2016 16:00:00,24.58
4/13/2016 16:00:00,25.88
4/14/2016 16:00:00,26.17
4/15/2016 16:00:00,25.76
4/18/2016 16:00:00,25.73
4/19/2016 16:00:00,26.46
4/20/2016 16:00:00,27.41
4/21/2016 16:00:00,27.26
4/22/2016 16:00:00,27.7
4/25/2016 16:00:00,27.53
4/26/2016 16:00:00,27.55
4/27/2016 16:00:00,27.53
4/28/2016 16:00:00,27.23
4/29/2016 16:00:00,27.06
5/2/2016 16:00:00,27.26
5/3/2016 16:00:00,26.89
5/4/2016 16:00:00,26.28
5/5/2016 16:00:00,26.17
5/6/2016 16:00:00,26.25
5/9/2016 16:00:00,26.1
5/10/2016 16:00:00,26.63
5/11/2016 16:00:00,26.36
5/12/2016 16:00:00,26.23
5/13/2016 16:00:00,25.89
5/16/2016 16:00:00,26.21
5/17/2016 16:00:00,26.16
5/18/2016 16:00:00,27.24
5/19/2016 16:00:00,26.61
5/20/2016 16:00:00,26.77
5/23/2016 16:00:00,26.83
5/24/2016 16:00:00,27.41
5/25/2016 16:00:00,27.78
5/26/2016 16:00:00,27.42
5/27/2016 16:00:00,27.53
5/31/2016 16:00:00,27.37
6/1/2016 16:00:00,27.49
6/2/2016 16:00:00,27.28
6/3/2016 16:00:00,26.54
6/6/2016 16:00:00,26.85
6/7/2016 16:00:00,26.52
6/8/2016 16:00:00,26.54
6/9/2016 16:00:00,26.08
6/10/2016 16:00:00,25.54
6/13/2016 16:00:00,25.26
6/14/2016 16:00:00,24.6
6/15/2016 16:00:00,24.72
6/16/2016 16:00:00,25.07
6/17/2016 16:00:00,25.31
6/20/2016 16:00:00,25.9
6/21/2016 16:00:00,26.2
6/22/2016 16:00:00,26.39
6/23/2016 16:00:00,27.29
6/24/2016 16:00:00,24.52
6/27/2016 16:00:00,23.61
6/28/2016 16:00:00,24.61
6/29/2016 16:00:00,25.23
6/30/2016 16:00:00,25.98
7/1/2016 16:00:00,25.92
7/5/2016 16:00:00,25
7/6/2016 16:00:00,25.15
7/7/2016 16:00:00,25.69
7/8/2016 16:00:00,26.37
7/11/2016 16:00:00,26.46
7/12/2016 16:00:00,27.37
7/13/2016 16:00:00,27.16
7/14/2016 16:00:00,28
7/15/2016 16:00:00,28.01
7/18/2016 16:00:00,28.21
7/19/2016 16:00:00,28.19
7/20/2016 16:00:00,28.78
7/21/2016 16:00:00,28.87
7/22/2016 16:00:00,28.92
7/25/2016 16:00:00,29.13
7/26/2016 16:00:00,29.23
7/27/2016 16:00:00,29.02
7/28/2016 16:00:00,28.86
7/29/2016 16:00:00,28.73
8/1/2016 16:00:00,28.5
8/2/2016 16:00:00,28
8/3/2016 16:00:00,28.42
8/4/2016 16:00:00,28.28
8/5/2016 16:00:00,29.01
8/8/2016 16:00:00,29.12
8/9/2016 16:00:00,29.34
8/10/2016 16:00:00,29.11
8/11/2016 16:00:00,29.38
8/12/2016 16:00:00,29.17
8/15/2016 16:00:00,29.66
8/16/2016 16:00:00,30.25
8/17/2016 16:00:00,30.37
8/18/2016 16:00:00,30.55
8/19/2016 16:00:00,30.55
8/22/2016 16:00:00,30.6
8/23/2016 16:00:00,30.72
8/24/2016 16:00:00,30.91
8/25/2016 16:00:00,30.97
8/26/2016 16:00:00,31.16
