Date,Close
1/4/2016 16:00:00,13.97
1/5/2016 16:00:00,13.72
1/6/2016 16:00:00,13.11
1/7/2016 16:00:00,12.7
1/8/2016 16:00:00,12.54
1/11/2016 16:00:00,12.77
1/12/2016 16:00:00,12.85
1/13/2016 16:00:00,12.2
1/14/2016 16:00:00,12.19
1/15/2016 16:00:00,11.97
1/19/2016 16:00:00,11.95
1/20/2016 16:00:00,11.9
1/21/2016 16:00:00,12.01
1/22/2016 16:00:00,12.14
1/25/2016 16:00:00,11.98
1/26/2016 16:00:00,12.26
1/27/2016 16:00:00,11.85
1/28/2016 16:00:00,11.71
1/29/2016 16:00:00,11.94
2/1/2016 16:00:00,12.07
2/2/2016 16:00:00,11.51
2/3/2016 16:00:00,11.46
2/4/2016 16:00:00,11.53
2/5/2016 16:00:00,11.45
2/8/2016 16:00:00,11.59
2/9/2016 16:00:00,11.35
2/10/2016 16:00:00,11.34
2/11/2016 16:00:00,11.17
2/12/2016 16:00:00,11.55
2/16/2016 16:00:00,11.87
2/17/2016 16:00:00,12.27
2/18/2016 16:00:00,12.26
2/19/2016 16:00:00,12.1
2/22/2016 16:00:00,12.56
2/23/2016 16:00:00,12.42
2/24/2016 16:00:00,12.08
2/25/2016 16:00:00,12.39
2/26/2016 16:00:00,12.47
2/29/2016 16:00:00,12.51
3/1/2016 16:00:00,13.09
3/2/2016 16:00:00,13.22
3/3/2016 16:00:00,13.54
3/4/2016 16:00:00,13.59
3/7/2016 16:00:00,13.62
3/8/2016 16:00:00,13.23
3/9/2016 16:00:00,13.19
3/10/2016 16:00:00,13.15
3/11/2016 16:00:00,13.29
3/14/2016 16:00:00,13.27
3/15/2016 16:00:00,13.23
3/16/2016 16:00:00,13.5
3/17/2016 16:00:00,13.47
3/18/2016 16:00:00,13.64
3/21/2016 16:00:00,13.66
3/22/2016 16:00:00,13.59
3/23/2016 16:00:00,13.26
3/24/2016 16:00:00,13.06
3/28/2016 16:00:00,13.09
3/29/2016 16:00:00,13.2
3/30/2016 16:00:00,13.35
