Date,Close
1/4/2016 16:00:00,11.6
1/5/2016 16:00:00,11.71
1/6/2016 16:00:00,11.29
1/7/2016 16:00:00,10.77
1/8/2016 16:00:00,10.58
1/11/2016 16:00:00,10.65
1/12/2016 16:00:00,10.82
1/13/2016 16:00:00,10.58
1/14/2016 16:00:00,10.62
1/15/2016 16:00:00,10.11
1/19/2016 16:00:00,9.76
1/20/2016 16:00:00,9.55
1/21/2016 16:00:00,9.94
1/22/2016 16:00:00,9.8
1/25/2016 16:00:00,9.49
1/26/2016 16:00:00,9.64
1/27/2016 16:00:00,9.62
1/28/2016 16:00:00,9.48
1/29/2016 16:00:00,9.71
2/1/2016 16:00:00,9.97
2/2/2016 16:00:00,9.88
2/3/2016 16:00:00,9.65
2/4/2016 16:00:00,9.86
2/5/2016 16:00:00,9.91
2/8/2016 16:00:00,9.37
2/9/2016 16:00:00,9.19
2/10/2016 16:00:00,9.28
2/11/2016 16:00:00,9.02
2/12/2016 16:00:00,9.42
2/16/2016 16:00:00,9.81
2/17/2016 16:00:00,10.08
2/18/2016 16:00:00,10.52
2/19/2016 16:00:00,10.32
2/22/2016 16:00:00,10.68
2/23/2016 16:00:00,10.31
2/24/2016 16:00:00,10.82
2/25/2016 16:00:00,10.34
2/26/2016 16:00:00,10.64
2/29/2016 16:00:00,10.69
3/1/2016 16:00:00,10.93
3/2/2016 16:00:00,10.9
3/3/2016 16:00:00,11.11
3/4/2016 16:00:00,11.18
3/7/2016 16:00:00,11.31
3/8/2016 16:00:00,11.05
3/9/2016 16:00:00,11.36
3/10/2016 16:00:00,11.42
3/11/2016 16:00:00,11.7
3/14/2016 16:00:00,11.47
3/15/2016 16:00:00,11.4
3/16/2016 16:00:00,11.62
3/17/2016 16:00:00,11.72
3/18/2016 16:00:00,12.18
3/21/2016 16:00:00,12.21
3/22/2016 16:00:00,12.26
3/23/2016 16:00:00,12.02
3/24/2016 16:00:00,12.07
3/28/2016 16:00:00,12.07
3/29/2016 16:00:00,12.28
3/30/2016 16:00:00,12.3
3/31/2016 16:00:00,12.32
4/1/2016 16:00:00,12.26
4/4/2016 16:00:00,12.1
4/5/2016 16:00:00,11.95
4/6/2016 16:00:00,12.28
4/7/2016 16:00:00,11.99
4/8/2016 16:00:00,12.06
4/11/2016 16:00:00,12.13
4/12/2016 16:00:00,12.22
4/13/2016 16:00:00,12.64
4/14/2016 16:00:00,12.55
4/15/2016 16:00:00,12.52
4/18/2016 16:00:00,12.67
4/19/2016 16:00:00,12.78
4/20/2016 16:00:00,12.8
4/21/2016 16:00:00,12.59
4/22/2016 16:00:00,12.61
4/25/2016 16:00:00,12.57
4/26/2016 16:00:00,12.73
4/27/2016 16:00:00,12.76
4/28/2016 16:00:00,12.57
4/29/2016 16:00:00,12.27
5/2/2016 16:00:00,12.12
5/3/2016 16:00:00,11.71
5/4/2016 16:00:00,11.59
5/5/2016 16:00:00,11.45
5/6/2016 16:00:00,11.59
5/9/2016 16:00:00,11.43
5/10/2016 16:00:00,11.61
5/11/2016 16:00:00,11.69
5/12/2016 16:00:00,11.56
5/13/2016 16:00:00,11.5
5/16/2016 16:00:00,11.64
5/17/2016 16:00:00,11.53
5/18/2016 16:00:00,11.57
5/19/2016 16:00:00,11.44
5/20/2016 16:00:00,11.66
5/23/2016 16:00:00,11.67
5/24/2016 16:00:00,11.91
5/25/2016 16:00:00,12.2
5/26/2016 16:00:00,13.04
5/27/2016 16:00:00,13.17
5/31/2016 16:00:00,13.38
6/1/2016 16:00:00,13.44
6/2/2016 16:00:00,13.54
6/3/2016 16:00:00,13.44
6/6/2016 16:00:00,13.67
6/7/2016 16:00:00,13.69
6/8/2016 16:00:00,13.87
6/9/2016 16:00:00,13.84
6/10/2016 16:00:00,13.5
6/13/2016 16:00:00,13.03
6/14/2016 16:00:00,13.05
6/15/2016 16:00:00,13
6/16/2016 16:00:00,12.98
6/17/2016 16:00:00,13.12
6/20/2016 16:00:00,13.07
6/21/2016 16:00:00,13.33
6/22/2016 16:00:00,12.61
6/23/2016 16:00:00,12.95
6/24/2016 16:00:00,12.26
6/27/2016 16:00:00,11.55
6/28/2016 16:00:00,11.79
6/29/2016 16:00:00,12.18
6/30/2016 16:00:00,12.55
7/1/2016 16:00:00,12.73
7/5/2016 16:00:00,12.36
7/6/2016 16:00:00,12.6
7/7/2016 16:00:00,12.85
7/8/2016 16:00:00,13.08
7/11/2016 16:00:00,13.16
7/12/2016 16:00:00,13.72
7/13/2016 16:00:00,13.81
7/14/2016 16:00:00,13.8
7/15/2016 16:00:00,13.85
7/18/2016 16:00:00,13.94
7/19/2016 16:00:00,14.05
7/20/2016 16:00:00,14.16
7/21/2016 16:00:00,14
7/22/2016 16:00:00,14.11
7/25/2016 16:00:00,14.16
7/26/2016 16:00:00,14.18
7/27/2016 16:00:00,13.99
7/28/2016 16:00:00,13.94
7/29/2016 16:00:00,14.01
8/1/2016 16:00:00,14.18
8/2/2016 16:00:00,14.06
8/3/2016 16:00:00,14.31
8/4/2016 16:00:00,14.15
8/5/2016 16:00:00,14.28
8/8/2016 16:00:00,14.26
8/9/2016 16:00:00,14.25
8/10/2016 16:00:00,14.19
8/11/2016 16:00:00,14.3
8/12/2016 16:00:00,14.28
8/15/2016 16:00:00,14.52
8/16/2016 16:00:00,14.41
8/17/2016 16:00:00,14.5
8/18/2016 16:00:00,14.51
8/19/2016 16:00:00,14.42
